Loaded 200 EVs from /Users/ankitkumarsingh/Desktop/MMTP/Optimal_cost_reduction_in_electric_vehicle_Using_Priority_scheduling_and_Optimisation/evs_200.csv
DEBUG: Sorted EVs by T_arr_idx and ID:
  EV174: T_arr_idx = 14, ID = 174
  EV35: T_arr_idx = 18, ID = 35
  EV138: T_arr_idx = 19, ID = 138
  EV175: T_arr_idx = 19, ID = 175
  EV5: T_arr_idx = 21, ID = 5
  EV99: T_arr_idx = 21, ID = 99
  EV149: T_arr_idx = 21, ID = 149
  EV198: T_arr_idx = 21, ID = 198
  EV86: T_arr_idx = 22, ID = 86
  EV146: T_arr_idx = 22, ID = 146
  EV87: T_arr_idx = 23, ID = 87
  EV120: T_arr_idx = 23, ID = 120
  EV17: T_arr_idx = 24, ID = 17
  EV58: T_arr_idx = 24, ID = 58
  EV159: T_arr_idx = 24, ID = 159
  EV39: T_arr_idx = 25, ID = 39
  EV54: T_arr_idx = 25, ID = 54
  EV154: T_arr_idx = 25, ID = 154
  EV1: T_arr_idx = 26, ID = 1
  EV78: T_arr_idx = 26, ID = 78
  EV94: T_arr_idx = 26, ID = 94
  EV147: T_arr_idx = 26, ID = 147
  EV6: T_arr_idx = 27, ID = 6
  EV45: T_arr_idx = 27, ID = 45
  EV66: T_arr_idx = 27, ID = 66
  EV173: T_arr_idx = 27, ID = 173
  EV176: T_arr_idx = 27, ID = 176
  EV3: T_arr_idx = 28, ID = 3
  EV126: T_arr_idx = 28, ID = 126
  EV195: T_arr_idx = 28, ID = 195
  EV18: T_arr_idx = 29, ID = 18
  EV43: T_arr_idx = 29, ID = 43
  EV50: T_arr_idx = 29, ID = 50
  EV65: T_arr_idx = 29, ID = 65
  EV80: T_arr_idx = 29, ID = 80
  EV89: T_arr_idx = 29, ID = 89
  EV156: T_arr_idx = 29, ID = 156
  EV116: T_arr_idx = 30, ID = 116
  EV194: T_arr_idx = 30, ID = 194
  EV64: T_arr_idx = 31, ID = 64
  EV70: T_arr_idx = 31, ID = 70
  EV109: T_arr_idx = 31, ID = 109
  EV141: T_arr_idx = 31, ID = 141
  EV158: T_arr_idx = 31, ID = 158
  EV163: T_arr_idx = 31, ID = 163
  EV168: T_arr_idx = 31, ID = 168
  EV76: T_arr_idx = 32, ID = 76
  EV84: T_arr_idx = 32, ID = 84
  EV128: T_arr_idx = 32, ID = 128
  EV131: T_arr_idx = 32, ID = 131
